alias,canonical,count,last_used_at,created_at
"vg","뱅상 지라르댕",89,"2026-01-14 01:58:22","2026-01-12 02:58:41"
"ro","로버트 오틀리",65,"2026-01-14 01:58:23","2026-01-12 03:09:28"
"ml","3003021",56,"2026-01-14 01:58:22","2026-01-14 01:57:56"
"rdb","3015440",56,"2026-01-14 01:58:22","2026-01-14 01:57:56"
"mr","3015440",48,"2026-01-14 01:58:22","2026-01-14 01:57:56"
"gp","AC74001",40,"2026-01-14 01:58:23","2026-01-14 01:57:57"
"ch","찰스 하이직",38,"2026-01-14 01:58:22","2026-01-12 02:50:11"
"rb","로저 벨랑",35,"2026-01-14 01:58:23","2026-01-12 02:58:41"
"bm","마데이라",33,"2026-01-14 01:58:23","2026-01-12 03:04:18"
"a","3120804",30,"2026-01-14 01:58:23","2026-01-14 01:57:57"
"r","1H19001",30,"2026-01-14 01:58:23","2026-01-14 01:57:56"
"dd","도멘 기 이반 뒤폴레르",29,"2026-01-14 01:58:22","2026-01-12 02:58:41"
"va","뵈브 암발",29,"2026-01-14 01:58:22","2026-01-12 02:57:38"
"rd","3021062",28,"2026-01-14 01:58:22","2026-01-14 01:57:56"
"lc","레이크 찰리스",25,"2026-01-14 01:58:23","2026-01-12 03:09:29"
"p","2118039",24,"2026-01-14 01:58:23","2026-01-14 01:57:57"
"c","2C19001",24,"2026-01-14 01:58:23","2026-01-14 01:57:57"
"rc","1H19001",24,"2026-01-14 01:58:23","2026-01-14 01:57:56"
"cl","클레멍 라발리",23,"2026-01-14 01:58:22","2026-01-12 02:59:40"
"lt","랭 트윈스",21,"2026-01-14 01:58:23","2026-01-12 03:05:39"
"fp","페스 파커",21,"2026-01-14 01:58:23","2026-01-12 03:05:38"
"bs","비온디 산티",21,"2026-01-14 01:58:23","2026-01-12 03:02:59"
"cd","꿀리 뒤떼이",21,"2026-01-14 01:58:22","2026-01-12 03:00:42"
"cdlg","2017074",20,"2026-01-14 01:58:22","2026-01-14 01:57:57"
"s","00MV002",20,"2026-01-14 01:58:23","2026-01-14 01:57:56"
"dgyed","2019042",20,"2026-01-14 01:58:22","2026-01-14 01:57:56"
"ar","알마 로사",19,"2026-01-14 01:58:23","2026-01-12 03:05:39"
